generation,duration,idle_time,connectedness_penalty,crew_cost,pareto_rank,crowding_distance,overall_pareto_rank,zones,crews
1,205.04000000000002,122.49000000000002,0,13.0,1,0.5410136832495924,8,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
2,182.39000000000001,99.59000000000003,0,14.0,1,0.2787630754349759,13,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440369"": 9, ""1440382"": 10, ""1440383"": 10, ""1440368"": 11, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440384"": 13, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 4.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 1, ""Interior Finishes"": 2.0}"
3,182.39000000000001,99.59000000000003,0,14.0,1,0.2561831261017953,16,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440369"": 9, ""1440382"": 10, ""1440383"": 10, ""1440368"": 11, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440384"": 13, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 4.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 1, ""Interior Finishes"": 2.0}"
4,182.39000000000001,99.59000000000003,0,14.0,1,0.21288405315032044,19,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440369"": 9, ""1440382"": 10, ""1440383"": 10, ""1440368"": 11, ""1440403"": 12, ""1440404"": 12, ""1440406"": 12, ""1440384"": 13, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 4.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 1, ""Interior Finishes"": 2.0}"
5,217.64000000000001,159.98999999999998,0,11.0,1,0.16642743608228078,20,"{""1440371"": 1, ""1440389"": 2, ""1773274"": 3, ""1440369"": 4, ""1773278"": 4, ""1773440"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440382"": 9, ""1440383"": 9, ""1440368"": 1, ""1440403"": 10, ""1440404"": 10, ""1440406"": 10, ""1440384"": 11, ""1440385"": 11, ""1440388"": 11, ""1440401"": 12, ""1440402"": 12, ""1440376"": 13, ""1440400"": 14, ""1440399"": 14, ""1773269"": 15, ""1440396"": 16, ""1440397"": 16, ""1440372"": 17, ""1440394"": 18, ""1440395"": 18, ""1440398"": 18}","{""Interior Walls"": 4.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
6,217.64000000000001,159.98999999999998,0,11.0,1,0.281611505920543,12,"{""1440371"": 1, ""1440389"": 2, ""1773274"": 3, ""1440369"": 4, ""1773278"": 4, ""1773440"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440382"": 9, ""1440383"": 9, ""1440368"": 1, ""1440403"": 10, ""1440404"": 10, ""1440406"": 10, ""1440384"": 11, ""1440385"": 11, ""1440388"": 11, ""1440401"": 12, ""1440402"": 12, ""1440376"": 13, ""1440400"": 14, ""1440399"": 14, ""1773269"": 15, ""1440396"": 16, ""1440397"": 16, ""1440372"": 17, ""1440394"": 18, ""1440395"": 18, ""1440398"": 18}","{""Interior Walls"": 4.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
7,217.64000000000001,159.98999999999998,0,11.0,1,0.27423681638511566,14,"{""1440371"": 1, ""1440389"": 2, ""1773274"": 3, ""1440369"": 4, ""1773278"": 4, ""1773440"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1773267"": 8, ""1440382"": 9, ""1440383"": 9, ""1440368"": 1, ""1440403"": 10, ""1440404"": 10, ""1440406"": 10, ""1440384"": 11, ""1440385"": 11, ""1440388"": 11, ""1440401"": 12, ""1440402"": 12, ""1440376"": 13, ""1440400"": 14, ""1440399"": 14, ""1773269"": 15, ""1440396"": 16, ""1440397"": 16, ""1440372"": 17, ""1440394"": 18, ""1440395"": 18, ""1440398"": 18}","{""Interior Walls"": 4.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
8,180.91000000000003,61.86,0,14.0,1,0.26694603060971567,16,"{""1440389"": 1, ""1773274"": 2, ""1440402"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 7, ""1440382"": 8, ""1440380"": 9, ""1440381"": 10, ""1773267"": 11, ""1440369"": 12, ""1440368"": 13, ""1440406"": 14, ""1440403"": 15, ""1440404"": 15, ""1440383"": 16, ""1440384"": 17, ""1440385"": 17, ""1440388"": 18, ""1773278"": 19, ""1440376"": 20, ""1440400"": 21, ""1440401"": 21, ""1440399"": 22, ""1773269"": 23, ""1440397"": 24, ""1440396"": 25, ""1440372"": 26, ""1440398"": 27, ""1440394"": 28, ""1440395"": 29}","{""Interior Walls"": 5.0, ""MEP"": 4.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
9,180.91000000000003,61.86,0,14.0,1,0.2633330312615455,16,"{""1440389"": 1, ""1773274"": 2, ""1440402"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 7, ""1440382"": 8, ""1440380"": 9, ""1440381"": 10, ""1773267"": 11, ""1440369"": 12, ""1440368"": 13, ""1440406"": 14, ""1440403"": 15, ""1440404"": 15, ""1440383"": 16, ""1440384"": 17, ""1440385"": 17, ""1440388"": 18, ""1773278"": 19, ""1440376"": 20, ""1440400"": 21, ""1440401"": 21, ""1440399"": 22, ""1773269"": 23, ""1440397"": 24, ""1440396"": 25, ""1440372"": 26, ""1440398"": 27, ""1440394"": 28, ""1440395"": 29}","{""Interior Walls"": 5.0, ""MEP"": 4.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
10,180.91000000000003,61.86,0,14.0,1,0.34220369572321147,15,"{""1440389"": 1, ""1773274"": 2, ""1440402"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 7, ""1440382"": 8, ""1440380"": 9, ""1440381"": 10, ""1773267"": 11, ""1440369"": 12, ""1440368"": 13, ""1440406"": 14, ""1440403"": 15, ""1440404"": 15, ""1440383"": 16, ""1440384"": 17, ""1440385"": 17, ""1440388"": 18, ""1773278"": 19, ""1440376"": 20, ""1440400"": 21, ""1440401"": 21, ""1440399"": 22, ""1773269"": 23, ""1440397"": 24, ""1440396"": 25, ""1440372"": 26, ""1440398"": 27, ""1440394"": 28, ""1440395"": 29}","{""Interior Walls"": 5.0, ""MEP"": 4.0, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 2.0}"
