generation,duration,idle_time,connectedness_penalty,crew_cost,pareto_rank,crowding_distance,overall_pareto_rank,zones,crews
1,429.4,20.0,1,10.0,1,inf,1,"{""1440376"": 1, ""1773270"": 2, ""1440405"": 2, ""1440406"": 2, ""1440399"": 2, ""1440402"": 2, ""1440396"": 2, ""1440403"": 2, ""1440400"": 2, ""1440368"": 1, ""1440395"": 2, ""1440397"": 2, ""1440398"": 2, ""1440383"": 1, ""1440401"": 2, ""1440382"": 1, ""1440404"": 2, ""1440394"": 2, ""1440385"": 1, ""1440384"": 1, ""1440372"": 1, ""1440381"": 1, ""1440371"": 1, ""1440380"": 1, ""1773267"": 1, ""1773269"": 1, ""1773274"": 1, ""1773278"": 1, ""1440388"": 1, ""1440369"": 1, ""1440389"": 1, ""1773440"": 2}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
1,98.16399999999997,164.20399999999995,0,25.0,1,inf,2,"{""1440376"": 6, ""1773270"": 12, ""1440389"": 17, ""1440401"": 7, ""1773274"": 16, ""1440394"": 1, ""1440380"": 11, ""1440371"": 13, ""1440388"": 8, ""1440397"": 3, ""1440368"": 14, ""1440404"": 9, ""1440383"": 10, ""1773440"": 15, ""1440372"": 2, ""1440399"": 5, ""1773269"": 4, ""1440405"": 12, ""1440402"": 7, ""1440406"": 9, ""1440385"": 8, ""1440396"": 3, ""1440395"": 1, ""1440381"": 11, ""1440369"": 13, ""1440400"": 5, ""1440382"": 10, ""1773278"": 14, ""1440398"": 1, ""1773267"": 11, ""1440403"": 9, ""1440384"": 8}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
1,494.92,859.12,0,5.0,1,inf,3,"{""1440376"": 4, ""1773270"": 16, ""1440389"": 12, ""1440401"": 10, ""1773274"": 17, ""1440394"": 3, ""1440380"": 9, ""1440371"": 13, ""1440388"": 2, ""1440397"": 5, ""1440368"": 14, ""1440404"": 15, ""1440383"": 7, ""1773440"": 11, ""1440372"": 1, ""1440399"": 8, ""1773269"": 6, ""1440405"": 16, ""1440402"": 10, ""1440406"": 15, ""1440385"": 2, ""1440396"": 5, ""1440395"": 3, ""1440381"": 9, ""1440369"": 13, ""1440400"": 8, ""1440382"": 7, ""1773278"": 14, ""1440398"": 3, ""1773267"": 9, ""1440403"": 15, ""1440384"": 2}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
1,510.52000000000004,637.22,0,5.0,1,inf,4,"{""1440389"": 1, ""1773274"": 3, ""1773278"": 4, ""1773440"": 5, ""1440371"": 6, ""1773270"": 7, ""1773267"": 8, ""1440380"": 9, ""1440381"": 9, ""1440369"": 10, ""1440382"": 11, ""1440405"": 12, ""1440368"": 13, ""1440383"": 14, ""1440403"": 15, ""1440404"": 15, ""1440406"": 15, ""1440384"": 16, ""1440385"": 16, ""1440402"": 17, ""1440388"": 18, ""1440376"": 19, ""1440401"": 20, ""1440400"": 21, ""1440399"": 22, ""1773269"": 23, ""1440372"": 2, ""1440396"": 24, ""1440397"": 24, ""1440394"": 25, ""1440395"": 25, ""1440398"": 25}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 1, ""Interior Finishes"": 1}"
1,621.5000000000001,624.7,4,6.0,1,inf,5,"{""1440376"": 1, ""1440384"": 2, ""1440385"": 2, ""1440388"": 2, ""1440389"": 2, ""1773267"": 2, ""1773269"": 2, ""1773274"": 2, ""1773278"": 2, ""1440368"": 2, ""1440369"": 2, ""1440371"": 2, ""1440372"": 1, ""1440380"": 2, ""1440381"": 2, ""1440382"": 2, ""1440383"": 2, ""1440401"": 3, ""1773440"": 4, ""1440394"": 4, ""1440395"": 4, ""1440396"": 4, ""1440397"": 4, ""1440398"": 4, ""1440399"": 4, ""1440400"": 4, ""1440402"": 4, ""1440403"": 4, ""1440404"": 4, ""1440405"": 4, ""1440406"": 4, ""1773270"": 4}","{""Interior Walls"": 1, ""MEP"": 1, ""Ceiling"": 2.0, ""Doors"": 1, ""Interior Finishes"": 1}"
1,165.14,69.83999999999997,0,18.0,1,inf,6,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 5.0, ""Doors"": 1.0, ""Interior Finishes"": 2.0}"
1,402.28000000000003,270.9800000000001,0,7.0,1,0.7081049909668178,7,"{""1440389"": 1, ""1773274"": 2, ""1773440"": 3, ""1440369"": 4, ""1440371"": 4, ""1440368"": 5, ""1773278"": 5, ""1440405"": 6, ""1773270"": 6, ""1773267"": 7, ""1440380"": 7, ""1440381"": 7, ""1440382"": 8, ""1440383"": 8, ""1440403"": 9, ""1440404"": 9, ""1440406"": 9, ""1440384"": 10, ""1440385"": 10, ""1440388"": 10, ""1440401"": 11, ""1440402"": 11, ""1440376"": 12, ""1440400"": 13, ""1440399"": 13, ""1773269"": 14, ""1440396"": 15, ""1440397"": 15, ""1440372"": 16, ""1440394"": 17, ""1440395"": 17, ""1440398"": 17}","{""Interior Walls"": 2.0, ""MEP"": 1, ""Ceiling"": 1, ""Doors"": 2.0, ""Interior Finishes"": 1}"
1,205.04000000000002,122.49000000000002,0,13.0,1,0.5410136832495924,8,"{""1440389"": 1, ""1773274"": 2, ""1773278"": 3, ""1773440"": 4, ""1440371"": 5, ""1440405"": 6, ""1773270"": 6, ""1440380"": 7, ""1440381"": 7, ""1440382"": 7, ""1773267"": 8, ""1440369"": 9, ""1440368"": 10, ""1440403"": 11, ""1440404"": 11, ""1440406"": 11, ""1440384"": 12, ""1440383"": 12, ""1440385"": 13, ""1440388"": 13, ""1440401"": 14, ""1440402"": 14, ""1440376"": 15, ""1440400"": 16, ""1440399"": 16, ""1773269"": 17, ""1440396"": 18, ""1440397"": 18, ""1440372"": 19, ""1440394"": 20, ""1440395"": 20, ""1440398"": 20}","{""Interior Walls"": 5.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
1,256.64000000000004,326.49,0,10.0,1,0.5404562015553579,9,"{""1440376"": 12, ""1773270"": 6, ""1440389"": 1, ""1440401"": 11, ""1773274"": 2, ""1440394"": 17, ""1440380"": 7, ""1440371"": 4, ""1440388"": 10, ""1440397"": 15, ""1440368"": 5, ""1440404"": 9, ""1440383"": 8, ""1773440"": 3, ""1440372"": 16, ""1440399"": 13, ""1773269"": 14, ""1440405"": 6, ""1440402"": 11, ""1440406"": 9, ""1440385"": 10, ""1440396"": 15, ""1440395"": 17, ""1440381"": 7, ""1440369"": 4, ""1440400"": 13, ""1440382"": 8, ""1773278"": 5, ""1440398"": 17, ""1773267"": 7, ""1440403"": 9, ""1440384"": 10}","{""Interior Walls"": 2.0, ""MEP"": 2.0, ""Ceiling"": 2.0, ""Doors"": 2.0, ""Interior Finishes"": 2.0}"
1,114.43999999999998,169.48000000000002,0,22.0,1,0.3847120561025683,10,"{""1440394"": 1, ""1440395"": 1, ""1440398"": 1, ""1440372"": 2, ""1440396"": 3, ""1440397"": 3, ""1773269"": 4, ""1440400"": 5, ""1440399"": 5, ""1440376"": 6, ""1440401"": 7, ""1440402"": 7, ""1440384"": 8, ""1440385"": 8, ""1440388"": 8, ""1440403"": 9, ""1440404"": 9, ""1440406"": 9, ""1440382"": 10, ""1440383"": 10, ""1773267"": 11, ""1440380"": 11, ""1440381"": 11, ""1440405"": 12, ""1773270"": 12, ""1440369"": 13, ""1440371"": 13, ""1440368"": 14, ""1773278"": 14, ""1773440"": 15, ""1773274"": 16, ""1440389"": 17}","{""Interior Walls"": 5.0, ""MEP"": 5.0, ""Ceiling"": 2, ""Doors"": 5.0, ""Interior Finishes"": 5.0}"
